state,district,year,sesamum_kharif_yield_tonne_per_hectare
,,2006 - 2007,0.31
,,2007 - 2008,0.31
,,2008 - 2009,0.29
,,2009 - 2010,0.33
,,2010 - 2011,0.33
,,2011 - 2012,0.44
,,2012 - 2013,0.53
,,2013 - 2014,0.55
,,2014 - 2015,0.56
,,2015 - 2016,0.71
,,2016 - 2017,0.69
,,2017 - 2018,0.66
,,2018 - 2019,0.64
,,2019 - 2020,0.61
,,2020 - 2021,0.81
,,2021 - 2022,0.88
,,2022 - 2023,0.69
,Sonitpur,2000 - 2001,0.64
,,2001 - 2002,0.64
,,2002 - 2003,0.63
,,2003 - 2004,0.64
,,2004 - 2005,0.64
,,2005 - 2006,0.64
,,2006 - 2007,0.65
,,2007 - 2008,0.64
,,2008 - 2009,0.64
,,2009 - 2010,0.64
,,2010 - 2011,0.63
,,2011 - 2012,0.78
,,2012 - 2013,0.73
,,2013 - 2014,0.66
,,2014 - 2015,0.77
,,2015 - 2016,0.75
,,2016 - 2017,0.77
,,2017 - 2018,0.8
,,2018 - 2019,0.78
,,2019 - 2020,0.79
,,2020 - 2021,0.79
,,2021 - 2022,0.77
,,2022 - 2023,0.77
,South salmara mancachar,2020 - 2021,0.75
,,2021 - 2022,0.74
,,2022 - 2023,0.45
,Tinsukia,2000 - 2001,0.45
,,2001 - 2002,0.44
,,2002 - 2003,0.44
,,2003 - 2004,0.45
,,2004 - 2005,0.44
,,2005 - 2006,0.44
,,2006 - 2007,0.43
,,2007 - 2008,0.43
,,2008 - 2009,0.43
,,2009 - 2010,0.43
,,2010 - 2011,0.43
,,2011 - 2012,0.53
,,2012 - 2013,0.51
,,2013 - 2014,0.56
,,2014 - 2015,0.55
,,2015 - 2016,0.49
,,2016 - 2017,0.51
,,2017 - 2018,0.53
,,2018 - 2019,0.54
,,2019 - 2020,0.57
,,2020 - 2021,0.59
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Udalguri,2005 - 2006,0.62
,,2006 - 2007,0.62
,,2007 - 2008,0.62
,,2008 - 2009,1.0
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.75
,,2012 - 2013,0.8
,,2013 - 2014,0.82
,,2014 - 2015,0.86
,,2015 - 2016,0.61
,,2016 - 2017,0.64
,,2017 - 2018,0.64
,,2018 - 2019,0.94
,,2019 - 2020,0.97
,,2020 - 2021,0.91
,,2021 - 2022,0.92
,,2022 - 2023,0.97
,West karbi anglong,2020 - 2021,0.46
,,2021 - 2022,0.75
,,2022 - 2023,0.79
Bihar,Araria,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.52
,,2003 - 2004,0.73
,,2004 - 2005,0.78
,,2006 - 2007,0.75
,,2007 - 2008,0.78
,,2008 - 2009,0.74
,,2011 - 2012,0.89
,,2012 - 2013,0.87
,,2013 - 2014,0.9
,,2014 - 2015,0.88
,,2015 - 2016,0.92
,,2016 - 2017,0.88
,Arwal,2003 - 2004,0.78
,,2004 - 2005,0.7
,,2005 - 2006,0.94
,,2007 - 2008,0.81
,,2008 - 2009,0.81
,,2010 - 2011,0.79
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.88
,,2014 - 2015,0.88
,,2015 - 2016,1.06
,,2016 - 2017,0.88
,,2017 - 2018,0.86
,,2018 - 2019,0.89
,,2019 - 2020,0.92
,,2020 - 2021,0.82
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Aurangabad,2000 - 2001,0.55
,,2001 - 2002,0.72
,,2002 - 2003,0.88
,,2003 - 2004,0.48
,,2004 - 2005,0.63
,,2005 - 2006,0.8
,,2006 - 2007,0.75
,,2007 - 2008,0.81
,,2008 - 2009,0.8
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.92
,,2013 - 2014,0.89
,,2014 - 2015,0.85
,,2015 - 2016,1.0
,,2016 - 2017,1.67
,,2017 - 2018,0.89
,,2018 - 2019,1.0
,,2019 - 2020,0.89
,Banka,2000 - 2001,0.56
,,2001 - 2002,0.71
,,2005 - 2006,0.86
,,2007 - 2008,0.71
,,2008 - 2009,0.82
,,2010 - 2011,0.67
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.9
,,2020 - 2021,0.91
,,2021 - 2022,0.91
,,2022 - 2023,0.91
,Begusarai,2000 - 2001,0.19
,,2001 - 2002,0.64
,,2002 - 2003,0.61
,,2003 - 2004,0.76
,,2004 - 2005,0.76
,,2005 - 2006,0.79
,,2006 - 2007,0.76
,,2007 - 2008,0.83
,,2010 - 2011,0.76
,,2011 - 2012,0.89
,,2012 - 2013,0.91
,,2013 - 2014,0.88
,,2014 - 2015,0.88
,,2015 - 2016,0.88
,,2016 - 2017,0.9
,,2017 - 2018,0.87
,,2018 - 2019,0.85
,,2019 - 2020,0.86
,,2020 - 2021,0.75
,,2021 - 2022,0.88
,,2022 - 2023,0.92
,Bhagalpur,2000 - 2001,0.57
,,2001 - 2002,0.74
,,2002 - 2003,0.5
,,2003 - 2004,0.67
,,2004 - 2005,0.78
,,2005 - 2006,0.79
,,2006 - 2007,0.75
,,2007 - 2008,0.83
,,2008 - 2009,0.82
,,2010 - 2011,0.78
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.89
,,2014 - 2015,0.87
,,2015 - 2016,0.85
,,2016 - 2017,0.85
,,2017 - 2018,0.91
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.91
,,2022 - 2023,0.91
,Bhojpur,2000 - 2001,0.57
,,2001 - 2002,0.83
,,2002 - 2003,0.74
,,2003 - 2004,1.0
,,2004 - 2005,0.78
,,2005 - 2006,0.93
,,2006 - 2007,0.79
,,2007 - 2008,0.75
,,2008 - 2009,0.83
,,2010 - 2011,0.79
,,2011 - 2012,0.88
,,2012 - 2013,0.89
,,2013 - 2014,0.89
,,2014 - 2015,0.89
,,2015 - 2016,0.87
,Buxar,2004 - 2005,1.0
,Darbhanga,2002 - 2003,0.0
,,2003 - 2004,0.73
,,2004 - 2005,0.79
,,2005 - 2006,0.71
,,2006 - 2007,0.5
,,2008 - 2009,1.0
,,2010 - 2011,0.82
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,Gaya,2000 - 2001,0.55
,,2001 - 2002,0.6
,,2002 - 2003,0.71
,,2003 - 2004,0.74
,,2004 - 2005,0.78
,,2005 - 2006,0.91
,,2006 - 2007,0.78
,,2007 - 2008,0.8
,,2008 - 2009,0.78
,,2010 - 2011,0.79
,,2011 - 2012,0.87
,,2012 - 2013,0.89
,,2013 - 2014,0.87
,,2014 - 2015,0.88
,,2015 - 2016,0.87
,,2016 - 2017,0.87
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.89
,Gopalganj,2000 - 2001,0.6
,,2001 - 2002,0.5
,,2002 - 2003,0.69
,,2003 - 2004,0.83
,,2006 - 2007,1.0
,,2008 - 2009,1.0
,,2010 - 2011,0.78
,,2018 - 2019,0.9
,,2022 - 2023,0.87
,Jamui,2013 - 2014,1.0
,,2014 - 2015,1.0
,Jehanabad,2000 - 2001,0.55
,,2001 - 2002,0.62
,,2002 - 2003,0.86
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,1.08
,,2006 - 2007,0.78
,,2007 - 2008,0.83
,,2008 - 2009,0.67
,,2010 - 2011,0.67
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.87
,Kaimur (bhabua),2000 - 2001,0.57
,,2001 - 2002,0.83
,,2002 - 2003,0.76
,,2003 - 2004,0.88
,,2004 - 2005,0.88
,,2005 - 2006,1.02
,,2006 - 2007,0.9
,,2007 - 2008,0.84
,,2008 - 2009,0.93
,,2010 - 2011,0.67
,,2011 - 2012,0.8
,,2019 - 2020,0.87
,,2020 - 2021,0.87
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Katihar,2000 - 2001,0.43
,,2001 - 2002,0.38
,,2002 - 2003,0.67
,,2004 - 2005,0.76
,,2005 - 2006,0.78
,,2006 - 2007,0.73
,,2007 - 2008,0.8
,,2008 - 2009,0.86
,,2011 - 2012,0.83
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2016 - 2017,1.0
,,2018 - 2019,0.87
,,2019 - 2020,0.88
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.8
,Khagaria,2000 - 2001,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.82
,,2008 - 2009,0.86
,,2010 - 2011,0.78
,,2011 - 2012,1.0
,,2013 - 2014,0.87
,,2014 - 2015,0.85
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2021 - 2022,1.0
,,2022 - 2023,0.85
,Kishanganj,2000 - 2001,0.46
,,2001 - 2002,0.6
,,2002 - 2003,0.78
,,2003 - 2004,0.76
,,2004 - 2005,0.78
,,2005 - 2006,0.75
,,2006 - 2007,0.76
,,2007 - 2008,0.8
,,2008 - 2009,0.77
,,2010 - 2011,0.79
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.87
,,2014 - 2015,0.87
,,2015 - 2016,0.87
,,2016 - 2017,0.87
,,2017 - 2018,0.87
,,2018 - 2019,0.87
,,2019 - 2020,0.87
,,2020 - 2021,0.88
,,2021 - 2022,0.87
,,2022 - 2023,0.88
,Madhepura,2000 - 2001,0.67
,,2001 - 2002,0.64
,,2002 - 2003,0.73
,,2003 - 2004,0.77
,,2004 - 2005,0.74
,,2005 - 2006,0.84
,,2006 - 2007,0.71
,,2007 - 2008,0.8
,,2008 - 2009,0.78
,,2010 - 2011,0.8
,,2011 - 2012,0.87
,,2012 - 2013,0.86
,,2013 - 2014,0.87
,,2014 - 2015,0.89
,,2015 - 2016,0.84
,,2016 - 2017,0.89
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.86
,,2021 - 2022,0.85
,,2022 - 2023,0.83
,Madhubani,2000 - 2001,0.53
,,2001 - 2002,0.68
,,2002 - 2003,0.71
,,2003 - 2004,0.69
,,2004 - 2005,0.72
,,2005 - 2006,0.67
,,2006 - 2007,0.67
,,2007 - 2008,0.82
,,2008 - 2009,0.77
,,2010 - 2011,0.79
,,2011 - 2012,0.89
,,2012 - 2013,0.89
,,2013 - 2014,0.89
,,2014 - 2015,0.9
,,2015 - 2016,0.87
,,2016 - 2017,0.86
,,2017 - 2018,0.89
,,2018 - 2019,0.89
,,2019 - 2020,0.87
,,2020 - 2021,0.88
,,2021 - 2022,0.88
,,2022 - 2023,0.88
,Muzaffarpur,2000 - 2001,1.0
,,2001 - 2002,0.67
,,2002 - 2003,0.5
,,2003 - 2004,0.75
,,2004 - 2005,0.76
,,2005 - 2006,0.8
,,2006 - 2007,0.79
,,2007 - 2008,0.82
,,2008 - 2009,0.76
,,2010 - 2011,0.77
,,2011 - 2012,0.91
,,2012 - 2013,0.89
,,2013 - 2014,0.88
,,2014 - 2015,0.87
,,2015 - 2016,0.82
,,2016 - 2017,0.87
,,2017 - 2018,0.86
,,2018 - 2019,0.86
,,2019 - 2020,0.87
,,2020 - 2021,0.86
,,2021 - 2022,0.88
,,2022 - 2023,0.88
,Nalanda,2000 - 2001,0.56
,,2001 - 2002,0.55
,,2002 - 2003,0.76
,,2003 - 2004,0.79
,,2004 - 2005,0.81
,,2005 - 2006,0.9
,,2006 - 2007,0.8
,,2007 - 2008,0.71
,,2008 - 2009,0.83
,,2017 - 2018,1.0
,,2018 - 2019,0.8
,,2019 - 2020,0.83
,,2020 - 2021,1.0
,,2021 - 2022,0.8
,Nawada,2000 - 2001,0.58
,,2001 - 2002,0.59
,,2002 - 2003,0.82
,,2003 - 2004,0.54
,,2004 - 2005,0.78
,,2005 - 2006,0.81
,,2006 - 2007,0.77
,,2007 - 2008,0.84
,,2008 - 2009,0.78
,,2010 - 2011,0.81
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.87
,,2014 - 2015,0.87
,,2015 - 2016,0.86
,,2016 - 2017,0.86
,,2017 - 2018,0.88
,,2018 - 2019,0.87
,,2019 - 2020,0.88
,,2020 - 2021,0.87
,,2021 - 2022,0.87
,,2022 - 2023,0.94
,Pashchim champaran,2000 - 2001,0.7
,,2001 - 2002,0.65
,,2002 - 2003,0.58
,,2003 - 2004,0.73
,,2004 - 2005,0.78
,,2005 - 2006,0.8
,,2006 - 2007,0.78
,,2007 - 2008,0.78
,,2008 - 2009,0.81
,,2010 - 2011,0.79
,,2011 - 2012,0.89
,,2012 - 2013,0.88
,,2013 - 2014,0.87
,,2014 - 2015,0.88
,,2015 - 2016,0.86
,,2016 - 2017,0.87
,,2017 - 2018,0.87
,,2018 - 2019,0.87
,,2019 - 2020,0.89
,,2020 - 2021,0.88
,,2021 - 2022,0.92
,,2022 - 2023,0.86
,Patna,2006 - 2007,0.79
,,2008 - 2009,0.89
,,2011 - 2012,1.0
,,2012 - 2013,0.9
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.86
,,2016 - 2017,0.8
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Purbi champaran,2000 - 2001,0.7
,,2001 - 2002,0.63
,,2002 - 2003,0.51
,,2003 - 2004,0.75
,,2004 - 2005,0.76
,,2005 - 2006,0.81
,,2006 - 2007,0.77
,,2007 - 2008,0.81
,,2008 - 2009,0.79
,,2010 - 2011,0.79
,,2011 - 2012,0.89
,,2012 - 2013,0.87
,,2014 - 2015,0.9
,,2015 - 2016,0.81
,,2016 - 2017,0.89
,Purnia,2000 - 2001,0.44
,,2002 - 2003,0.77
,,2003 - 2004,0.71
,,2004 - 2005,0.75
,,2005 - 2006,0.75
,,2006 - 2007,0.71
,,2007 - 2008,1.0
,,2008 - 2009,0.75
,,2010 - 2011,0.75
,,2011 - 2012,0.85
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.87
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.89
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,0.8
,Rohtas,2000 - 2001,0.57
,,2001 - 2002,0.76
,,2002 - 2003,0.92
,,2003 - 2004,0.89
,,2004 - 2005,0.94
,,2005 - 2006,1.0
,,2006 - 2007,0.87
,,2007 - 2008,0.91
,,2008 - 2009,0.94
,,2010 - 2011,0.75
,,2011 - 2012,0.87
,,2012 - 2013,0.9
,,2013 - 2014,0.83
,Saharsa,2000 - 2001,0.5
,,2001 - 2002,0.6
,,2002 - 2003,0.69
,,2003 - 2004,0.75
,,2004 - 2005,0.79
,,2005 - 2006,0.67
,,2006 - 2007,0.76
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2010 - 2011,0.82
,,2011 - 2012,0.89
,,2012 - 2013,1.0
,,2013 - 2014,0.8
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,0.75
,Samastipur,2000 - 2001,0.54
,,2001 - 2002,0.52
,,2002 - 2003,0.64
,,2003 - 2004,0.63
,,2004 - 2005,0.63
,,2005 - 2006,0.6
,,2006 - 2007,0.7
,,2007 - 2008,0.77
,,2008 - 2009,0.72
,,2010 - 2011,0.79
,,2011 - 2012,0.87
,,2012 - 2013,0.88
,,2013 - 2014,0.87
,,2014 - 2015,0.87
,,2015 - 2016,0.87
,,2016 - 2017,0.87
,,2017 - 2018,0.87
,,2018 - 2019,0.87
,,2019 - 2020,0.87
,,2020 - 2021,0.87
,,2021 - 2022,0.87
,,2022 - 2023,0.88
,Saran,2002 - 2003,1.0
,,2003 - 2004,0.78
,,2004 - 2005,0.67
,,2006 - 2007,0.75
,,2011 - 2012,1.0
,,2012 - 2013,0.88
,,2013 - 2014,0.84
,,2014 - 2015,0.86
,,2015 - 2016,0.88
,Sheikhpura,2006 - 2007,0.79
,,2010 - 2011,1.0
,,2015 - 2016,0.88
,,2016 - 2017,1.0
,Sheohar,2010 - 2011,0.79
,,2011 - 2012,0.87
,,2012 - 2013,0.89
,,2013 - 2014,0.87
,,2014 - 2015,0.88
,,2015 - 2016,0.86
,,2016 - 2017,0.9
,,2017 - 2018,0.88
,,2018 - 2019,0.85
,,2019 - 2020,0.87
,,2020 - 2021,0.87
,,2021 - 2022,0.87
,,2022 - 2023,0.86
,Sitamarhi,2000 - 2001,0.8
,,2003 - 2004,0.67
,,2012 - 2013,0.89
,,2013 - 2014,0.87
,,2014 - 2015,0.87
,,2015 - 2016,0.86
,,2016 - 2017,0.86
,,2017 - 2018,0.86
,,2018 - 2019,0.86
,,2019 - 2020,0.86
,,2020 - 2021,0.85
,,2021 - 2022,0.87
,,2022 - 2023,0.87
,Siwan,2000 - 2001,0.56
,,2001 - 2002,0.61
,,2002 - 2003,0.57
,,2003 - 2004,0.72
,,2004 - 2005,0.77
,,2005 - 2006,0.8
,,2006 - 2007,0.77
,,2007 - 2008,0.72
,,2008 - 2009,0.8
,,2010 - 2011,0.8
,,2011 - 2012,0.9
,,2012 - 2013,1.0
,,2013 - 2014,0.9
,,2014 - 2015,0.89
,,2015 - 2016,0.89
,,2016 - 2017,0.86
,,2017 - 2018,0.86
,,2018 - 2019,0.86
,,2019 - 2020,0.86
,,2020 - 2021,0.86
,,2021 - 2022,0.86
,,2022 - 2023,0.86
,Supaul,2000 - 2001,0.62
,,2001 - 2002,0.6
,,2002 - 2003,0.77
,,2003 - 2004,0.77
,,2004 - 2005,0.77
,,2005 - 2006,0.8
,,2006 - 2007,0.77
,,2007 - 2008,0.81
,,2008 - 2009,0.82
,,2010 - 2011,0.79
,,2011 - 2012,0.89
,,2012 - 2013,0.88
,,2013 - 2014,0.87
,,2014 - 2015,0.87
,,2015 - 2016,0.86
,,2016 - 2017,0.87
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.89
,,2020 - 2021,0.87
,,2021 - 2022,0.88
,,2022 - 2023,0.87
,Vaishali,2000 - 2001,0.71
,,2001 - 2002,0.73
,,2002 - 2003,0.57
,,2003 - 2004,0.69
,,2004 - 2005,0.8
,,2005 - 2006,0.81
,,2006 - 2007,0.77
,,2007 - 2008,0.72
,,2008 - 2009,0.78
,,2010 - 2011,0.76
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.89
,,2014 - 2015,0.88
,,2015 - 2016,0.88
,,2016 - 2017,0.9
,,2017 - 2018,0.88
,,2018 - 2019,0.22
Chhattisgarh,Balod,2011 - 2012,0.38
,,2012 - 2013,0.27
,,2013 - 2014,0.25
,,2014 - 2015,0.35
,,2015 - 2016,0.35
,,2016 - 2017,0.39
,,2017 - 2018,0.3
,,2018 - 2019,0.32
,,2019 - 2020,0.3
,,2020 - 2021,0.38
,,2021 - 2022,0.53
,,2022 - 2023,0.42
,Baloda bazar,2011 - 2012,0.33
,,2012 - 2013,0.3
,,2013 - 2014,0.27
,,2014 - 2015,0.41
,,2015 - 2016,0.39
,,2016 - 2017,0.38
,,2017 - 2018,0.24
,,2018 - 2019,0.26
,,2019 - 2020,0.39
,,2020 - 2021,0.36
,,2021 - 2022,0.48
,,2022 - 2023,0.48
,Balrampur,2011 - 2012,0.36
,,2012 - 2013,0.3
,,2013 - 2014,0.31
,,2014 - 2015,0.44
,,2015 - 2016,0.4
,,2016 - 2017,0.37
,,2017 - 2018,0.29
,,2018 - 2019,0.31
,,2019 - 2020,0.38
,,2020 - 2021,0.4
,,2021 - 2022,0.57
,,2022 - 2023,0.44
,Bastar,2000 - 2001,0.22
,,2001 - 2002,0.32
,,2002 - 2003,0.32
,,2003 - 2004,0.38
,,2004 - 2005,0.43
,,2005 - 2006,0.37
,,2006 - 2007,0.43
,,2007 - 2008,0.43
,,2008 - 2009,0.36
,,2009 - 2010,0.52
,,2010 - 2011,0.45
,,2011 - 2012,0.54
,,2012 - 2013,0.34
,,2013 - 2014,0.35
,,2014 - 2015,0.56
,,2015 - 2016,0.52
,,2016 - 2017,0.52
,,2017 - 2018,0.41
,,2018 - 2019,0.46
,,2019 - 2020,0.51
,,2020 - 2021,0.48
,,2021 - 2022,0.66
,,2022 - 2023,0.66
,Bemetara,2011 - 2012,0.38
,,2012 - 2013,0.26
,,2013 - 2014,0.22
,,2014 - 2015,0.39
,,2015 - 2016,0.32
,,2016 - 2017,0.37
,,2017 - 2018,0.31
,,2018 - 2019,0.33
,,2019 - 2020,0.34
,,2020 - 2021,0.33
,,2021 - 2022,0.53
,,2022 - 2023,0.37
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,0.35
,,2008 - 2009,0.21
,,2009 - 2010,0.33
,,2010 - 2011,0.27
,,2011 - 2012,0.19
,,2012 - 2013,0.28
,,2013 - 2014,0.24
,,2014 - 2015,0.34
,,2015 - 2016,0.29
,,2016 - 2017,0.23
,,2017 - 2018,0.17
,,2018 - 2019,0.25
,,2019 - 2020,0.29
,,2020 - 2021,0.25
,,2021 - 2022,0.36
,,2022 - 2023,0.5
,Bilaspur,2000 - 2001,0.13
,,2001 - 2002,0.21
,,2002 - 2003,0.22
,,2003 - 2004,0.27
,,2004 - 2005,0.26
,,2005 - 2006,0.27
,,2006 - 2007,0.27
,,2007 - 2008,0.28
,,2008 - 2009,0.26
,,2009 - 2010,0.48
,,2010 - 2011,0.34
,,2011 - 2012,0.4
,,2012 - 2013,0.28
,,2013 - 2014,0.27
,,2014 - 2015,0.45
,,2015 - 2016,0.41
,,2016 - 2017,0.41
,,2017 - 2018,0.31
,,2018 - 2019,0.38
,,2019 - 2020,0.44
,,2020 - 2021,0.4
,,2021 - 2022,0.54
,,2022 - 2023,0.44
,Dantewada,2000 - 2001,0.18
,,2001 - 2002,0.27
,,2002 - 2003,0.29
,,2003 - 2004,0.32
,,2004 - 2005,0.28
,,2005 - 2006,0.27
,,2006 - 2007,0.38
,,2007 - 2008,0.35
,,2008 - 2009,0.32
,,2009 - 2010,0.33
,,2010 - 2011,0.35
,,2011 - 2012,0.39
,,2012 - 2013,0.24
,,2013 - 2014,0.3
,,2014 - 2015,0.32
,,2015 - 2016,0.3
,,2016 - 2017,0.41
,,2017 - 2018,0.19
,,2018 - 2019,0.35
,,2019 - 2020,0.43
,,2020 - 2021,0.31
,,2021 - 2022,0.56
,,2022 - 2023,0.37
,Dhamtari,2000 - 2001,0.13
,,2001 - 2002,0.25
,,2002 - 2003,0.26
,,2003 - 2004,0.31
,,2004 - 2005,0.35
,,2005 - 2006,0.34
,,2006 - 2007,0.33
,,2007 - 2008,0.34
,,2008 - 2009,0.34
,,2009 - 2010,0.54
,,2010 - 2011,0.39
,,2011 - 2012,0.46
,,2012 - 2013,0.31
,,2013 - 2014,0.29
,,2014 - 2015,0.51
,,2015 - 2016,0.48
,,2016 - 2017,0.48
,,2017 - 2018,0.37
,,2018 - 2019,0.33
,,2019 - 2020,0.52
,,2020 - 2021,0.52
,,2021 - 2022,0.78
,,2022 - 2023,0.61
,Durg,2000 - 2001,0.15
,,2001 - 2002,0.23
,,2002 - 2003,0.24
,,2003 - 2004,0.29
,,2004 - 2005,0.27
,,2005 - 2006,0.3
,,2006 - 2007,0.29
,,2007 - 2008,0.3
,,2008 - 2009,0.28
,,2009 - 2010,0.41
,,2010 - 2011,0.33
,,2011 - 2012,0.38
,,2012 - 2013,0.26
,,2013 - 2014,0.27
,,2014 - 2015,0.47
,,2015 - 2016,0.39
,,2016 - 2017,0.42
,,2017 - 2018,0.28
,,2018 - 2019,0.32
,,2019 - 2020,0.35
,,2020 - 2021,0.44
,,2021 - 2022,0.64
,,2022 - 2023,0.7
,Gariyaband,2011 - 2012,0.33
,,2012 - 2013,0.26
,,2013 - 2014,0.25
,,2014 - 2015,0.37
,,2015 - 2016,0.34
,,2016 - 2017,0.34
,,2017 - 2018,0.24
,,2018 - 2019,0.3
,,2019 - 2020,0.42
,,2020 - 2021,0.52
,,2021 - 2022,0.62
,,2022 - 2023,0.5
,Gaurella-pendra-marwahi,2019 - 2020,0.43
,,2020 - 2021,0.4
,,2021 - 2022,0.6
,,2022 - 2023,0.49
,Janjgir-champa,2000 - 2001,0.17
,,2001 - 2002,0.22
,,2002 - 2003,0.26
,,2003 - 2004,0.29
,,2004 - 2005,0.3
,,2005 - 2006,0.29
,,2006 - 2007,0.3
,,2007 - 2008,0.32
,,2008 - 2009,0.26
,,2009 - 2010,0.5
,,2010 - 2011,0.43
,,2011 - 2012,0.43
,,2012 - 2013,0.29
,,2013 - 2014,0.32
,,2014 - 2015,0.46
,,2015 - 2016,0.46
,,2016 - 2017,0.48
,,2017 - 2018,0.34
,,2018 - 2019,0.38
,,2019 - 2020,0.47
,,2020 - 2021,0.51
,,2021 - 2022,0.92
,,2022 - 2023,0.61
,Jashpur,2000 - 2001,0.21
,,2001 - 2002,0.26
,,2002 - 2003,0.28
,,2003 - 2004,0.3
,,2004 - 2005,0.28
,,2005 - 2006,0.3
,,2006 - 2007,0.28
,,2007 - 2008,0.33
,,2008 - 2009,0.29
,,2009 - 2010,0.52
,,2010 - 2011,0.38
,,2011 - 2012,0.42
,,2012 - 2013,0.31
,,2013 - 2014,0.31
,,2014 - 2015,0.49
,,2015 - 2016,0.37
,,2016 - 2017,0.37
,,2017 - 2018,0.35
,,2018 - 2019,0.37
,,2019 - 2020,0.44
,,2020 - 2021,0.4
,,2021 - 2022,0.58
,,2022 - 2023,0.49
,Kabirdham,2000 - 2001,0.15
,,2001 - 2002,0.22
,,2002 - 2003,0.27
,,2003 - 2004,0.23
,,2004 - 2005,0.31
,,2005 - 2006,0.24
,,2006 - 2007,0.26
,,2007 - 2008,0.27
,,2008 - 2009,0.27
,,2009 - 2010,0.39
,,2010 - 2011,0.27
,,2011 - 2012,0.32
,,2012 - 2013,0.27
,,2013 - 2014,0.25
,,2014 - 2015,0.43
,,2015 - 2016,0.35
,,2016 - 2017,0.26
,,2017 - 2018,0.25
,,2018 - 2019,0.2
,,2019 - 2020,0.33
,,2020 - 2021,0.31
,,2021 - 2022,0.55
,,2022 - 2023,0.45
,Kanker,2000 - 2001,0.2
,,2001 - 2002,0.32
,,2002 - 2003,0.16
,,2003 - 2004,0.34
,,2004 - 2005,0.42
,,2005 - 2006,0.27
,,2006 - 2007,0.36
,,2007 - 2008,0.41
,,2008 - 2009,0.32
,,2009 - 2010,0.73
,,2010 - 2011,0.49
,,2011 - 2012,0.6
,,2012 - 2013,0.43
,,2013 - 2014,0.36
,,2014 - 2015,0.52
,,2015 - 2016,0.39
,,2016 - 2017,0.66
,,2017 - 2018,0.46
,,2018 - 2019,0.51
,,2019 - 2020,0.41
,,2020 - 2021,0.53
,,2021 - 2022,0.79
,,2022 - 2023,0.71
,Khairgarh chhuikhadan gandai,2022 - 2023,0.74
,Kondagaon,2011 - 2012,0.53
,,2012 - 2013,0.34
,,2013 - 2014,0.33
,,2014 - 2015,0.55
,,2015 - 2016,0.45
,,2016 - 2017,0.6
,,2017 - 2018,0.37
,,2018 - 2019,0.44
,,2019 - 2020,0.59
,,2020 - 2021,0.51
,,2021 - 2022,0.74
,,2022 - 2023,0.58
,Korba,2000 - 2001,0.15
,,2001 - 2002,0.21
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2004 - 2005,0.22
,,2005 - 2006,0.25
,,2006 - 2007,0.21
,,2007 - 2008,0.24
,,2008 - 2009,0.26
,,2009 - 2010,0.35
,,2010 - 2011,0.29
,,2011 - 2012,0.32
