State,District,Year,Sweet potato,,,,,,,,
,,2019 - 2020,6,116,19.33,,,,,,
,,2020 - 2021,12,239,19.92,,,,,,
,,2021 - 2022,5,89,17.8,,,,,,
,,2022 - 2023,2,29,14.5,,,,,,
,23. Mysore,2007 - 2008,15,125,8.33,,,,,,
,,2008 - 2009,16,162,10.13,,,,,,
,,2009 - 2010,16,105,6.56,,,,,,
,,2011 - 2012,2,29,14.5,,,,,,
,,2012 - 2013,16,248,15.5,,,,,,
,,2013 - 2014,2,29,14.5,,,,,,
,,2014 - 2015,28,475,16.96,,,,,,
,,2015 - 2016,25,398,15.92,,,,,,
,,2016 - 2017,22,264,12,,,,,,
,,2017 - 2018,26,337,12.96,,,,,,
,,2018 - 2019,8,116,14.5,,,,,,
,,2019 - 2020,118,"2,277.00",19.3,,,,,,
,,2020 - 2021,44,878,19.95,,,,,,
,,2021 - 2022,89,"1,804.00",20.27,,,,,,
,,2022 - 2023,142,"1,705.00",12.01,,,,,,
,24. Raichur,2000 - 2001,10,74,7.4,,,,,,
,,2018 - 2019,8,116,14.5,,,,,,
,,2020 - 2021,1,20,20,,,,,,
,,2022 - 2023,1,14,14,,,,,,
,25. Ramanagara,2007 - 2008,4,25,6.25,,,,,,
,,2008 - 2009,10,101,10.1,,,,,,
,,2009 - 2010,8,53,6.63,,,,,,
,,2010 - 2011,89,"1,089.00",12.24,,,,,,
,,2011 - 2012,15,219,14.6,,,,,,
,,2012 - 2013,34,527,15.5,,,,,,
,,2013 - 2014,47,690,14.68,,,,,,
,,2014 - 2015,18,305,16.94,,,,,,
,,2015 - 2016,18,286,15.89,,,,,,
,,2016 - 2017,24,288,12,,,,,,
,,2017 - 2018,30,389,12.97,,,,,,
,,2018 - 2019,18,261,14.5,,,,,,
,,2019 - 2020,92,"1,775.00",19.29,,,,,,
,,2020 - 2021,26,519,19.96,,,,,,
,,2021 - 2022,25,274,10.96,,,,,,
,,2022 - 2023,33,326,9.88,,,,,,
,26. Shimoga,2018 - 2019,5,73,14.6,,,,,,
,,2021 - 2022,2,35,17.5,,,,,,
,,2022 - 2023,2,24,12,,,,,,
,27. Tumkur,2000 - 2001,25,158,6.32,,,,,,
,,2002 - 2003,19,120,6.32,,,,,,
,,2003 - 2004,23,146,6.35,,,,,,
,,2004 - 2005,18,114,6.33,,,,,,
,,2005 - 2006,60,380,6.33,,,,,,
,,2006 - 2007,30,190,6.33,,,,,,
,,2007 - 2008,31,197,6.35,,,,,,
,,2008 - 2009,16,162,10.13,,,,,,
,,2009 - 2010,28,184,6.57,,,,,,
,,2010 - 2011,36,297,8.25,,,,,,
,,2011 - 2012,18,262,14.56,,,,,,
,,2012 - 2013,33,512,15.52,,,,,,
,,2013 - 2014,4,59,14.75,,,,,,
,,2014 - 2015,27,458,16.96,,,,,,
,,2015 - 2016,40,636,15.9,,,,,,
,,2016 - 2017,23,276,12,,,,,,
,,2017 - 2018,22,285,12.95,,,,,,
,,2018 - 2019,43,624,14.51,,,,,,
,,2019 - 2020,79,"1,524.00",19.29,,,,,,
,,2020 - 2021,10,200,20,,,,,,
,,2021 - 2022,13,230,17.69,,,,,,
,,2022 - 2023,12,141,11.75,,,,,,
,28. Udupi,2000 - 2001,589,"3,647.00",6.19,,,,,,
,,2002 - 2003,554,"3,430.00",6.19,,,,,,
,,2003 - 2004,499,"3,090.00",6.19,,,,,,
,,2004 - 2005,439,"2,718.00",6.19,,,,,,
,,2005 - 2006,432,"2,675.00",6.19,,,,,,
,,2006 - 2007,393,"2,433.00",6.19,,,,,,
,,2007 - 2008,398,"2,464.00",6.19,,,,,,
,,2008 - 2009,380,"3,846.00",10.12,,,,,,
,,2009 - 2010,320,"2,103.00",6.57,,,,,,
,,2010 - 2011,256,"1,754.00",6.85,,,,,,
,,2011 - 2012,227,"1,437.00",6.33,,,,,,
,,2012 - 2013,202,"1,279.00",6.33,,,,,,
,,2013 - 2014,183,"1,140.00",6.23,,,,,,
,,2014 - 2015,180,"3,053.00",16.96,,,,,,
,,2015 - 2016,178,"2,830.00",15.9,,,,,,
,,2016 - 2017,171,"2,050.00",11.99,,,,,,
,,2017 - 2018,161,"2,089.00",12.98,,,,,,
,,2018 - 2019,86,"1,248.00",14.51,,,,,,
,,2019 - 2020,4,77,19.25,,,,,,
,,2020 - 2021,17,339,19.94,,,,,,
,,2021 - 2022,53,957,18.06,,,,,,
,,2022 - 2023,58,867,14.95,,,,,,
,29. Uttar kannad,2000 - 2001,50,317,6.34,,,,,,
,,2002 - 2003,30,190,6.33,,,,,,
,,2003 - 2004,27,171,6.33,,,,,,
,,2004 - 2005,28,178,6.36,,,,,,
,,2005 - 2006,33,209,6.33,,,,,,
,,2006 - 2007,34,216,6.35,,,,,,
,,2007 - 2008,31,197,6.35,,,,,,
,,2008 - 2009,27,273,10.11,,,,,,
,,2009 - 2010,27,177,6.56,,,,,,
,,2010 - 2011,34,280,8.24,,,,,,
,,2011 - 2012,27,393,14.56,,,,,,
,,2012 - 2013,26,403,15.5,,,,,,
,,2013 - 2014,20,294,14.7,,,,,,
,,2014 - 2015,20,339,16.95,,,,,,
,,2015 - 2016,17,270,15.88,,,,,,
,,2016 - 2017,16,192,12,,,,,,
,,2017 - 2018,16,208,13,,,,,,
,,2018 - 2019,24,348,14.5,,,,,,
,,2019 - 2020,1,19,19,,,,,,
,,2020 - 2021,12,239,19.92,,,,,,
,,2021 - 2022,2,35,17.5,,,,,,
,,2022 - 2023,1,15,15,,,,,,
,30. Yadgir,2010 - 2011,19,157,8.26,,,,,,
,,2018 - 2019,4,58,14.5,,,,,,
,,2019 - 2020,5,96,19.2,,,,,,
10. Kerala,1. Alappuzha,2000 - 2001,1,12,12,,,,,,
,,2001 - 2002,4,48,12,,,,,,
,,2002 - 2003,1,12,12,,,,,,
,,2003 - 2004,1,12,12,,,,,,
,,2004 - 2005,8,96,12,,,,,,
,,2005 - 2006,2,24,12,,,,,,
,,2006 - 2007,6,72,12,,,,,,
,,2007 - 2008,6,72,12,,,,,,
,,2008 - 2009,7,84,12,,,,,,
,,2009 - 2010,4,48,12,,,,,,
,,2012 - 2013,2,21,10.5,,,,,,
,,2013 - 2014,3,33,11,,,,,,
,,2014 - 2015,7,75,10.71,,,,,,
,,2015 - 2016,4,43,10.75,,,,,,
,,2016 - 2017,5,54,10.8,,,,,,
,,2017 - 2018,4,43,10.75,,,,,,
,,2018 - 2019,4.38,47.09,10.75,,,,,,
,,2019 - 2020,7,74,10.57,,,,,,
,,2020 - 2021,4.71,49.79,10.57,,,,,,
,,2021 - 2022,2,21,10.5,,,,,,
,,2022 - 2023,3.59,37.7,10.5,,,,,,
,2. Ernakulam,2000 - 2001,12,135,11.25,,,,,,
,,2001 - 2002,13,146,11.23,,,,,,
,,2002 - 2003,11,124,11.27,,,,,,
,,2003 - 2004,2,23,11.5,,,,,,
,,2004 - 2005,5,58,11.6,,,,,,
,,2006 - 2007,10,116,11.6,,,,,,
,,2007 - 2008,4,46,11.5,,,,,,
,,2008 - 2009,4,46,11.5,,,,,,
,,2009 - 2010,7,81,11.57,,,,,,
,,2012 - 2013,4,46,11.5,,,,,,
,,2013 - 2014,6,72,12,,,,,,
,,2014 - 2015,3,36,12,,,,,,
,,2015 - 2016,4,48,12,,,,,,
,,2016 - 2017,4,48,12,,,,,,
,,2017 - 2018,3,36,12,,,,,,
,,2018 - 2019,3.17,38.04,12,,,,,,
,,2019 - 2020,3,31,10.33,,,,,,
,,2020 - 2021,3.81,39.37,10.33,,,,,,
,,2021 - 2022,5,52,10.4,,,,,,
,,2022 - 2023,5.2,54.08,10.4,,,,,,
,3. Idukki,2000 - 2001,5,57,11.4,,,,,,
,,2001 - 2002,7,80,11.43,,,,,,
,,2002 - 2003,6,69,11.5,,,,,,
,,2003 - 2004,10,115,11.5,,,,,,
,,2004 - 2005,2,23,11.5,,,,,,
,,2005 - 2006,10,115,11.5,,,,,,
,,2006 - 2007,15,173,11.53,,,,,,
,,2007 - 2008,7,81,11.57,,,,,,
,,2008 - 2009,3,35,11.67,,,,,,
,,2009 - 2010,4,46,11.5,,,,,,
,,2012 - 2013,4,108,27,,,,,,
,,2013 - 2014,4,108,27,,,,,,
,,2014 - 2015,4,88,22,,,,,,
,,2015 - 2016,4,88,22,,,,,,
,,2016 - 2017,4,88,22,,,,,,
,,2017 - 2018,5,110,22,,,,,,
,,2018 - 2019,4.5,99,22,,,,,,
,,2019 - 2020,6,130,21.67,,,,,,
,,2020 - 2021,4.5,97.5,21.67,,,,,,
,,2021 - 2022,4,87,21.75,,,,,,
,,2022 - 2023,5.72,124.41,21.75,,,,,,
,4. Kannur,2000 - 2001,22,250,11.36,,,,,,
,,2001 - 2002,34,386,11.35,,,,,,
,,2002 - 2003,33,375,11.36,,,,,,
,,2003 - 2004,21,239,11.38,,,,,,
,,2004 - 2005,27,307,11.37,,,,,,
,,2005 - 2006,38,432,11.37,,,,,,
,,2006 - 2007,40,455,11.38,,,,,,
,,2007 - 2008,27,307,11.37,,,,,,
,,2008 - 2009,29,330,11.38,,,,,,
,,2009 - 2010,28,318,11.36,,,,,,
,,2012 - 2013,24,254,10.58,,,,,,
,,2013 - 2014,26,286,11,,,,,,
,,2014 - 2015,32,353,11.03,,,,,,
,,2015 - 2016,30,331,11.03,,,,,,
,,2016 - 2017,26,287,11.04,,,,,,
,,2017 - 2018,22,243,11.05,,,,,,
,,2018 - 2019,19.92,220.02,11.04,,,,,,
,,2019 - 2020,21,231,11,,,,,,
,,2020 - 2021,21.32,234.52,11,,,,,,
,,2021 - 2022,14,154,11,,,,,,
,,2022 - 2023,12.22,134.42,11,,,,,,
,5. Kasaragod,2000 - 2001,66,"1,204.00",18.24,,,,,,
,,2001 - 2002,107,"1,952.00",18.24,,,,,,
,,2002 - 2003,175,"3,193.00",18.25,,,,,,
,,2003 - 2004,182,"3,320.00",18.24,,,,,,
,,2004 - 2005,155,"2,827.00",18.24,,,,,,
,,2005 - 2006,173,"3,156.00",18.24,,,,,,
,,2006 - 2007,122,"2,226.00",18.25,,,,,,
,,2007 - 2008,130,"2,372.00",18.25,,,,,,
,,2008 - 2009,82,"1,496.00",18.24,,,,,,
,,2009 - 2010,47,858,18.26,,,,,,
,,2012 - 2013,53,"1,533.00",28.92,,,,,,
,,2013 - 2014,49,"1,421.00",29,,,,,,
,,2014 - 2015,61,"1,138.00",18.66,,,,,,
,,2015 - 2016,56,"1,045.00",18.66,,,,,,
,,2016 - 2017,42,784,18.67,,,,,,
,,2017 - 2018,57,"1,064.00",18.67,,,,,,
,,2018 - 2019,51.16,955,18.67,,,,,,
,,2019 - 2020,45,847,18.82,,,,,,
,,2020 - 2021,68.53,"1,289.89",18.82,,,,,,
,,2021 - 2022,37,696,18.81,,,,,,
,,2022 - 2023,39.23,737.96,18.81,,,,,,
,6. Kollam,2000 - 2001,2,22,11,,,,,,
,,2001 - 2002,2,22,11,,,,,,
,,2002 - 2003,6,66,11,,,,,,
,,2003 - 2004,13,143,11,,,,,,
,,2004 - 2005,14,154,11,,,,,,
,,2005 - 2006,19,209,11,,,,,,
,,2006 - 2007,14,154,11,,,,,,
,,2007 - 2008,8,88,11,,,,,,
,,2008 - 2009,8,88,11,,,,,,
,,2009 - 2010,12,132,11,,,,,,
,,2012 - 2013,2,22,11,,,,,,
,,2013 - 2014,2,22,11,,,,,,
,,2014 - 2015,4,44,11,,,,,,
,,2015 - 2016,2,22,11,,,,,,
,,2016 - 2017,4,44,11,,,,,,
,,2017 - 2018,2,22,11,,,,,,
,,2018 - 2019,2.09,22.99,11,,,,,,
,,2019 - 2020,2,20,10,,,,,,
,,2020 - 2021,2.41,24.1,10,,,,,,
,,2021 - 2022,2,20,10,,,,,,
,,2022 - 2023,2.04,20.4,10,,,,,,
,7. Kottayam,2000 - 2001,3,24,8,,,,,,
,,2001 - 2002,12,96,8,,,,,,
,,2002 - 2003,18,144,8,,,,,,
,,2003 - 2004,1,8,8,,,,,,
,,2004 - 2005,1,8,8,,,,,,
,,2005 - 2006,3,24,8,,,,,,
,,2006 - 2007,4,32,8,,,,,,
,,2007 - 2008,1,8,8,,,,,,
,,2008 - 2009,3,24,8,,,,,,
,,2009 - 2010,2,16,8,,,,,,
,,2012 - 2013,1,3,3,,,,,,
,,2013 - 2014,1,10,10,,,,,,
,,2014 - 2015,1,11,11,,,,,,
,,2015 - 2016,1,11,11,,,,,,
,,2017 - 2018,1,11,11,,,,,,
,,2018 - 2019,0.23,2.53,11,,,,,,
,,2020 - 2021,0.9,9.9,11,,,,,,
,,2021 - 2022,3,33,11,,,,,,
,,2022 - 2023,1.75,19.25,11,,,,,,
,8. Kozhikode,2000 - 2001,5,57,11.4,,,,,,
,,2001 - 2002,15,171,11.4,,,,,,
,,2002 - 2003,9,103,11.44,,,,,,
,,2003 - 2004,21,240,11.43,,,,,,
,,2004 - 2005,26,297,11.42,,,,,,
,,2005 - 2006,41,469,11.44,,,,,,
,,2006 - 2007,26,297,11.42,,,,,,
,,2007 - 2008,31,354,11.42,,,,,,
,,2008 - 2009,22,251,11.41,,,,,,
,,2009 - 2010,17,194,11.41,,,,,,
,,2012 - 2013,14,225,16.07,,,,,,
,,2013 - 2014,12,192,16,,,,,,
,,2014 - 2015,15,230,15.33,,,,,,
,,2015 - 2016,13,199,15.31,,,,,,
,,2016 - 2017,10,153,15.3,,,,,,
,,2017 - 2018,11,168,15.27,,,,,,
,,2018 - 2019,10.59,161.74,15.27,,,,,,
,,2019 - 2020,10,151,15.1,,,,,,
,,2020 - 2021,9.05,136.66,15.1,,,,,,
,,2021 - 2022,6,91,15.17,,,,,,
,,2022 - 2023,3.77,57.18,15.17,,,,,,
,9. Malappuram,2000 - 2001,260,"2,992.00",11.51,,,,,,
,,2001 - 2002,251,"2,888.00",11.51,,,,,,
,,2002 - 2003,333,"3,831.00",11.5,,,,,,
,,2003 - 2004,372,"4,278.00",11.5,,,,,,
,,2004 - 2005,274,"3,151.00",11.5,,,,,,
,,2005 - 2006,229,"2,634.00",11.5,,,,,,
,,2006 - 2007,132,"1,518.00",11.5,,,,,,
,,2007 - 2008,132,"1,518.00",11.5,,,,,,
,,2008 - 2009,124,"1,426.00",11.5,,,,,,
,,2009 - 2010,106,"1,219.00",11.5,,,,,,
,,2012 - 2013,65,796,12.25,,,,,,
,,2013 - 2014,84,"1,008.00",12,,,,,,
,,2014 - 2015,106,"1,272.00",12,,,,,,
,,2015 - 2016,81,972,12,,,,,,
,,2016 - 2017,61,732,12,,,,,,
,,2017 - 2018,65,780,12,,,,,,
,,2018 - 2019,44.62,535.44,12,,,,,,
,,2019 - 2020,47,567,12.06,,,,,,
,,2020 - 2021,124.23,"1,498.69",12.06,,,,,,
,,2021 - 2022,45,543,12.07,,,,,,
,,2022 - 2023,32.89,377.88,11.49,,,,,,
,10. Palakkad,2000 - 2001,369,"3,403.00",9.22,,,,,,
,,2001 - 2002,257,"2,370.00",9.22,,,,,,
,,2002 - 2003,180,"1,660.00",9.22,,,,,,
,,2003 - 2004,330,"3,043.00",9.22,,,,,,
,,2004 - 2005,276,"2,545.00",9.22,,,,,,
,,2005 - 2006,129,"1,190.00",9.22,,,,,,
,,2006 - 2007,87,803,9.23,,,,,,
,,2007 - 2008,115,"1,061.00",9.23,,,,,,
,,2008 - 2009,63,581,9.22,,,,,,
,,2009 - 2010,137,"1,264.00",9.23,,,,,,
,,2012 - 2013,90,"1,516.00",16.84,,,,,,
,,2013 - 2014,123,"2,091.00",17,,,,,,
,,2014 - 2015,110,"1,650.00",15,,,,,,
,,2015 - 2016,55,825,15,,,,,,
,,2016 - 2017,42,630,15,,,,,,
,,2017 - 2018,105,"1,575.00",15,,,,,,
,,2018 - 2019,51.22,768.3,15,,,,,,
,,2019 - 2020,36,545,15.14,,,,,,
,,2020 - 2021,49.43,748.32,15.14,,,,,,
,,2021 - 2022,44,666,15.14,,,,,,
,,2022 - 2023,26.42,383.46,14.51,,,,,,
,11. Pathanamthitta,2002 - 2003,4,44,11,,,,,,
,,2005 - 2006,7,77,11,,,,,,
,,2006 - 2007,5,55,11,,,,,,
,,2007 - 2008,3,33,11,,,,,,
,,2008 - 2009,2,22,11,,,,,,
,,2009 - 2010,1,11,11,,,,,,
,,2013 - 2014,1,11,11,,,,,,
,,2014 - 2015,1,12,12,,,,,,
,,2015 - 2016,1,12,12,,,,,,
,,2016 - 2017,2,24,12,,,,,,
,,2017 - 2018,2,24,12,,,,,,
,,2018 - 2019,1.53,18.36,12,,,,,,
,,2020 - 2021,1.28,15.36,12,,,,,,
,,2021 - 2022,1,12,12,,,,,,
,,2022 - 2023,1.46,17.52,12,,,,,,
,12. Thiruvananthapuram,2000 - 2001,56,635,11.34,,,,,,
,,2001 - 2002,35,397,11.34,,,,,,
,,2002 - 2003,56,635,11.34,,,,,,
,,2003 - 2004,34,385,11.32,,,,,,
,,2004 - 2005,31,351,11.32,,,,,,
,,2005 - 2006,45,510,11.33,,,,,,
,,2006 - 2007,23,261,11.35,,,,,,
,,2007 - 2008,16,182,11.38,,,,,,
,,2008 - 2009,18,204,11.33,,,,,,
,,2009 - 2010,19,216,11.37,,,,,,
,,2012 - 2013,13,147,11.31,,,,,,
,,2013 - 2014,7,77,11,,,,,,
,,2014 - 2015,6,66,11,,,,,,
,,2015 - 2016,17,187,11,,,,,,
,,2016 - 2017,10,110,11,,,,,,
,,2017 - 2018,10,110,11,,,,,,
,,2018 - 2019,11.94,131.34,11,,,,,,
,,2019 - 2020,11,121,11,,,,,,
,,2020 - 2021,13.47,148.17,11,,,,,,
,,2021 - 2022,11,121,11,,,,,,
,,2022 - 2023,10.55,116.05,11,,,,,,
,13. Thrissur,2000 - 2001,3,32,10.67,,,,,,
,,2001 - 2002,1,11,11,,,,,,
,,2002 - 2003,5,55,11,,,,,,
,,2003 - 2004,1,11,11,,,,,,
,,2004 - 2005,4,44,11,,,,,,
,,2005 - 2006,4,44,11,,,,,,
,,2006 - 2007,5,55,11,,,,,,
,,2007 - 2008,3,33,11,,,,,,
,,2008 - 2009,9,99,11,,,,,,
,,2009 - 2010,6,66,11,,,,,,
,,2012 - 2013,4,15,3.75,,,,,,
,,2013 - 2014,6,24,4,,,,,,
,,2014 - 2015,3,21,7,,,,,,
,,2015 - 2016,4,28,7,,,,,,
,,2016 - 2017,3,21,7,,,,,,
,,2017 - 2018,4,28,7,,,,,,
,,2018 - 2019,2.26,15.82,7,,,,,,
,,2019 - 2020,3,19,6.33,,,,,,
,,2020 - 2021,2.06,13.05,6.33,,,,,,
,,2021 - 2022,3,19,6.33,,,,,,
,,2022 - 2023,2.66,16.85,6.33,,,,,,
,14. Wayanad,2000 - 2001,12,140,11.67,,,,,,
,,2001 - 2002,9,105,11.67,,,,,,
,,2002 - 2003,13,152,11.69,,,,,,
,,2003 - 2004,14,164,11.71,,,,,,
,,2004 - 2005,13,152,11.69,,,,,,
,,2005 - 2006,11,129,11.73,,,,,,
,,2006 - 2007,16,188,11.75,,,,,,
,,2007 - 2008,16,188,11.75,,,,,,
,,2008 - 2009,12,141,11.75,,,,,,
,,2009 - 2010,9,106,11.78,,,,,,
,,2012 - 2013,6,94,15.67,,,,,,
,,2013 - 2014,6,96,16,,,,,,
,,2014 - 2015,8,127,15.88,,,,,,
,,2015 - 2016,7,111,15.86,,,,,,
,,2016 - 2017,7,111,15.86,,,,,,
,,2017 - 2018,4,63,15.75,,,,,,
,,2018 - 2019,2.8,44.1,15.75,,,,,,
,,2019 - 2020,3,46,15.33,,,,,,
,,2020 - 2021,3.34,51.21,15.33,,,,,,
,,2021 - 2022,4,61,15.25,,,,,,
,,2022 - 2023,2.35,35.84,15.25,,,,,,
11. Madhya Pradesh,1. Agar malwa,2013 - 2014,66,433,6.56,,,,,,
,,2015 - 2016,45,672.6,14.95,,,,,,
,,2016 - 2017,52,777.4,14.95,,,,,,
,,2017 - 2018,52,777.4,14.95,,,,,,
,,2018 - 2019,58,566.93,9.77,,,,,,
,,2019 - 2020,61,596.24,9.77,,,,,,
,2. Alirajpur,2008 - 2009,9,57,6.33,,,,,,
,,2009 - 2010,15,80,5.33,,,,,,
,,2010 - 2011,30,129,4.3,,,,,,
,,2011 - 2012,15,76,5.07,,,,,,
,,2012 - 2013,11,69,6.27,,,,,,
,,2013 - 2014,9,41,4.56,,,,,,
,,2015 - 2016,26,416,16,,,,,,
,,2016 - 2017,30,480,16,,,,,,
,,2017 - 2018,35,562.45,16.07,,,,,,
,,2018 - 2019,38,611.8,16.1,,,,,,
,,2019 - 2020,43.7,704.44,16.12,,,,,,
,3. Anuppur,2003 - 2004,38,203,5.34,,,,,,
,,2004 - 2005,40,231,5.78,,,,,,
,,2005 - 2006,45,264,5.87,,,,,,
,,2006 - 2007,48,282,5.88,,,,,,
,,2007 - 2008,46,270,5.87,,,,,,
,,2008 - 2009,45,264,5.87,,,,,,
,,2009 - 2010,44,219,4.98,,,,,,
,,2010 - 2011,63,226,3.59,,,,,,
,,2011 - 2012,73,351,4.81,,,,,,
,,2012 - 2013,97,544,5.61,,,,,,
,,2013 - 2014,84,550,6.55,,,,,,
,,2019 - 2020,25,625,25,,,,,,
,4. Ashoknagar,2003 - 2004,23,124,5.39,,,,,,
,,2004 - 2005,6,33,5.5,,,,,,
,,2005 - 2006,3,18,6,,,,,,
,,2006 - 2007,11,67,6.09,,,,,,
,,2007 - 2008,1,5,5,,,,,,
,,2009 - 2010,1,6,6,,,,,,
,,2010 - 2011,4,17,4.25,,,,,,
,,2011 - 2012,5,28,5.6,,,,,,
,,2012 - 2013,1,5,5,,,,,,
,,2013 - 2014,1,6,6,,,,,,
,,2015 - 2016,50,650,13,,,,,,
,,2016 - 2017,51,663,13,,,,,,
,,2017 - 2018,51,663,13,,,,,,
,,2018 - 2019,51,701,13.75,,,,,,
,,2019 - 2020,51,701,13.75,,,,,,
,5. Balaghat,2001 - 2002,113,744,6.58,,,,,,
,,2002 - 2003,104,684,6.58,,,,,,
,,2003 - 2004,93,612,6.58,,,,,,
,,2004 - 2005,109,717,6.58,,,,,,
,,2005 - 2006,102,671,6.58,,,,,,
,,2006 - 2007,94,618,6.57,,,,,,
,,2007 - 2008,90,592,6.58,,,,,,
,,2008 - 2009,111,730,6.58,,,,,,
,,2009 - 2010,89,585,6.57,,,,,,
,,2010 - 2011,94,522,5.55,,,,,,
,,2011 - 2012,104,618,5.94,,,,,,
,,2012 - 2013,95,565,5.95,,,,,,
,,2013 - 2014,99,707,7.14,,,,,,
,,2015 - 2016,115,"1,355.00",11.78,,,,,,
,,2016 - 2017,127,"1,392.00",10.96,,,,,,
,,2017 - 2018,130,"2,750.00",21.15,,,,,,
,,2018 - 2019,130,"2,770.00",21.31,,,,,,
,,2019 - 2020,130,"2,770.00",21.31,,,,,,
,6. Barwani,2001 - 2002,83,347,4.18,,,,,,
,,2002 - 2003,166,"1,026.00",6.18,,,,,,
,,2003 - 2004,165,900,5.45,,,,,,
,,2004 - 2005,89,486,5.46,,,,,,
,,2005 - 2006,63,179,2.84,,,,,,
,,2006 - 2007,85,337,3.96,,,,,,
,,2007 - 2008,90,288,3.2,,,,,,
,,2008 - 2009,63,201,3.19,,,,,,
,,2009 - 2010,59,192,3.25,,,,,,
,,2010 - 2011,82,169,2.06,,,,,,
,,2011 - 2012,66,131,1.98,,,,,,
,,2012 - 2013,142,610,4.3,,,,,,
,,2013 - 2014,197,940,4.77,,,,,,
,,2015 - 2016,79,"1,185.00",15,,,,,,
,,2016 - 2017,160,"2,480.00",15.5,,,,,,
,,2017 - 2018,165.9,"2,571.45",15.5,,,,,,
,,2018 - 2019,185,"2,867.50",15.5,,,,,,
,,2019 - 2020,220,"3,413.10",15.51,,,,,,
,7. Betul,2001 - 2002,82,522,6.37,,,,,,
,,2002 - 2003,74,471,6.36,,,,,,
,,2003 - 2004,73,458,6.27,,,,,,
,,2004 - 2005,74,464,6.27,,,,,,
,,2005 - 2006,125,783,6.26,,,,,,
,,2006 - 2007,146,929,6.36,,,,,,
,,2007 - 2008,68,426,6.26,,,,,,
,,2008 - 2009,82,499,6.09,,,,,,
,,2009 - 2010,84,488,5.81,,,,,,
,,2010 - 2011,173,873,5.05,,,,,,
,,2011 - 2012,335,"1,716.00",5.12,,,,,,
,,2012 - 2013,344,"2,433.00",7.07,,,,,,
,,2013 - 2014,346,"2,946.00",8.51,,,,,,
,,2015 - 2016,80,640,8,,,,,,
,,2016 - 2017,85,701,8.25,,,,,,
,,2017 - 2018,92,736,8,,,,,,
,,2018 - 2019,38,318,8.37,,,,,,
,,2019 - 2020,45,382,8.49,,,,,,
,8. Bhind,2001 - 2002,10,50,5,,,,,,
,,2002 - 2003,15,78,5.2,,,,,,
,,2003 - 2004,17,78,4.59,,,,,,
,,2004 - 2005,6,31,5.17,,,,,,
,,2005 - 2006,25,119,4.76,,,,,,
,,2006 - 2007,7,37,5.29,,,,,,
,,2007 - 2008,10,40,4,,,,,,
,,2008 - 2009,5,31,6.2,,,,,,
,,2009 - 2010,3,18,6,,,,,,
,,2010 - 2011,2,8,4,,,,,,
,,2011 - 2012,7,29,4.14,,,,,,
,,2012 - 2013,7,31,4.43,,,,,,
,,2013 - 2014,2,9,4.5,,,,,,
,9. Bhopal,2001 - 2002,5,25,5,,,,,,
,,2002 - 2003,4,22,5.5,,,,,,
,,2003 - 2004,1,5,5,,,,,,
,,2004 - 2005,2,11,5.5,,,,,,
,,2006 - 2007,4,22,5.5,,,,,,
,,2007 - 2008,2,11,5.5,,,,,,
,,2008 - 2009,3,16,5.33,,,,,,
,,2009 - 2010,1,5,5,,,,,,
,,2010 - 2011,1,4,4,,,,,,
,,2011 - 2012,1,6,6,,,,,,
,,2012 - 2013,2,17,8.5,,,,,,
,10. Burhanpur,2005 - 2006,2,11,5.5,,,,,,
,,2006 - 2007,9,48,5.33,,,,,,
,,2008 - 2009,1,5,5,,,,,,
,,2009 - 2010,2,10,5,,,,,,
,,2010 - 2011,3,9,3,,,,,,
,,2012 - 2013,4,14,3.5,,,,,,
,,2013 - 2014,7,29,4.14,,,,,,
,11. Chhatarpur,2001 - 2002,362,"1,905.00",5.26,,,,,,
,,2002 - 2003,309,"1,684.00",5.45,,,,,,
,,2003 - 2004,372,"2,062.00",5.54,,,,,,
,,2004 - 2005,404,"2,278.00",5.64,,,,,,
,,2005 - 2006,512,"2,421.00",4.73,,,,,,
,,2006 - 2007,394,"1,863.00",4.73,,,,,,
,,2007 - 2008,414,"1,957.00",4.73,,,,,,
,,2008 - 2009,452,"2,095.00",4.63,,,,,,
,,2009 - 2010,377,"1,747.00",4.63,,,,,,
,,2010 - 2011,345,977,2.83,,,,,,
,,2011 - 2012,383,"1,085.00",2.83,,,,,,
,,2012 - 2013,357,"1,992.00",5.58,,,,,,
,,2013 - 2014,454,"2,233.00",4.92,,,,,,
,,2015 - 2016,197,"2,454.00",12.46,,,,,,
,,2016 - 2017,187,"2,337.00",12.5,,,,,,
,,2017 - 2018,186,"2,241.00",12.05,,,,,,
,,2018 - 2019,181,"2,032.00",11.23,,,,,,
,,2019 - 2020,181,"2,034.00",11.24,,,,,,
,12. Chhindwara,2001 - 2002,158,649,4.11,,,,,,
,,2002 - 2003,131,549,4.19,,,,,,
,,2003 - 2004,153,776,5.07,,,,,,
,,2004 - 2005,140,722,5.16,,,,,,
,,2005 - 2006,152,863,5.68,,,,,,
,,2006 - 2007,204,"1,247.00",6.11,,,,,,
,,2007 - 2008,218,"1,333.00",6.11,,,,,,
,,2008 - 2009,201,"1,229.00",6.11,,,,,,
,,2009 - 2010,209,"1,369.00",6.55,,,,,,
,,2010 - 2011,281,"1,554.00",5.53,,,,,,
,,2011 - 2012,331,"1,830.00",5.53,,,,,,
,,2012 - 2013,450,"2,322.00",5.16,,,,,,
