state,district,year,groundnut_rabi_area_hectare,groundnut_rabi_production_tonne,groundnut_rabi_yield_tonne_per_hectare,groundnut_kharif_area_hectare,groundnut_kharif_production_tonne,groundnut_kharif_yield_tonne_per_hectare,groundnut_summer_area_hectare,groundnut_summer_production_tonne,groundnut_summer_yield_tonne_per_hectare,groundnut_whole_year_area_hectare,groundnut_whole_year_production_tonne,groundnut_whole_year_yield_tonne_per_hectare,groundnut_autumn_area_hectare,groundnut_autumn_production_tonne,groundnut_autumn_yield_tonne_per_hectare,groundnut_winter_area_hectare,groundnut_winter_production_tonne,groundnut_winter_yield_tonne_per_hectare
,,2001 - 2002,,,,12.0,6.0,0.5,,,,,,,,,,,,
,,2002 - 2003,,,,49.0,26.0,0.53,,,,,,,,,,,,
,,2005 - 2006,,,,34.0,17.0,0.5,,,,,,,,,,,,
,,2006 - 2007,,,,39.0,19.5,0.5,,,,,,,,,,,,
,Kathua,2007 - 2008,,,,1.0,0.5,0.5,,,,,,,,,,,,
,,2009 - 2010,,,,1.0,0.6,0.6,,,,,,,,,,,,
,Samba,2007 - 2008,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2009 - 2010,,,,2.0,1.3,0.65,,,,,,,,,,,,
,,2010 - 2011,,,,2.0,1.3,0.65,,,,,,,,,,,,
,,2011 - 2012,,,,5.0,3.3,0.66,,,,,,,,,,,,
,,2012 - 2013,,,,4.0,2.6,0.65,,,,,,,,,,,,
Jharkhand,Bokaro,2017 - 2018,,,,400.0,256.0,0.64,,,,,,,,,,,,
,,2018 - 2019,,,,,773.0,0.64,,,,,,,,,,,,
,,2019 - 2020,,,,329.0,428.0,1.3,,,,,,,,,,,,
,,2020 - 2021,,,,395.0,514.0,1.3,,,,,,,,,,,,
,,2021 - 2022,,,,390.0,429.0,1.1,,,,,,,,,,,,
,,2022 - 2023,,,,267.0,347.0,1.3,,,,,,,,,,,,
,Chatra,2017 - 2018,,,,370.0,348.0,0.94,,,,,,,,,,,,
,,2018 - 2019,,,,475.0,468.0,0.99,,,,,,,,,,,,
,,2019 - 2020,,,,364.0,360.0,0.99,,,,,,,,,,,,
,,2020 - 2021,,,,412.0,404.0,0.98,,,,,,,,,,,,
,,2021 - 2022,,,,525.0,509.0,0.97,,,,,,,,,,,,
,,2022 - 2023,,,,279.0,271.0,0.97,,,,,,,,,,,,
,Deoghar,2017 - 2018,,,,117.0,88.0,0.75,,,,,,,,,,,,
,,2018 - 2019,,,,301.0,226.0,0.75,,,,,,,,,,,,
,,2019 - 2020,,,,247.0,185.0,0.75,,,,,,,,,,,,
,,2020 - 2021,,,,290.0,218.0,0.75,,,,,,,,,,,,
,,2021 - 2022,,,,246.0,197.0,0.8,,,,,,,,,,,,
,,2022 - 2023,,,,215.0,172.0,0.8,,,,,,,,,,,,
,Dhanbad,2017 - 2018,,,,359.0,449.0,1.25,,,,,,,,,,,,
,,2018 - 2019,,,,361.0,433.0,1.2,,,,,,,,,,,,
,,2019 - 2020,,,,265.0,318.0,1.2,,,,,,,,,,,,
,,2020 - 2021,,,,219.0,263.0,1.2,,,,,,,,,,,,
,,2021 - 2022,,,,217.0,260.0,1.2,,,,,,,,,,,,
,Dumka,2017 - 2018,,,,,860.0,0.79,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.83,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.05,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,565.0,565.0,1.0,,,,,,,,,,,,
,,2022 - 2023,,,,5.0,5.0,1.0,,,,,,,,,,,,
,East singhbum,2017 - 2018,,,,,922.0,0.92,,,,,,,,,,,,
,,2018 - 2019,,,,950.0,713.0,0.75,,,,,,,,,,,,
,,2019 - 2020,,,,650.0,650.0,1.0,,,,,,,,,,,,
,,2020 - 2021,,,,377.0,320.0,0.85,,,,,,,,,,,,
,,2021 - 2022,,,,150.0,130.0,0.87,,,,,,,,,,,,
,,2022 - 2023,,,,190.0,166.0,0.87,,,,,,,,,,,,
,Garhwa,2017 - 2018,,,,,,0.72,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.84,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.84,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.07,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.07,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.07,,,,,,,,,,,,
,Giridih,2017 - 2018,,,,138.0,140.0,1.01,,,,,,,,,,,,
,,2018 - 2019,,,,96.0,97.0,1.01,,,,,,,,,,,,
,,2019 - 2020,,,,133.0,135.0,1.02,,,,,,,,,,,,
,,2020 - 2021,,,,214.0,219.0,1.02,,,,,,,,,,,,
,,2021 - 2022,,,,281.0,294.0,1.05,,,,,,,,,,,,
,,2022 - 2023,,,,253.0,257.0,1.02,,,,,,,,,,,,
,Godda,2017 - 2018,,,,903.0,903.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,524.0,519.0,0.99,,,,,,,,,,,,
,,2019 - 2020,,,,250.0,260.0,1.04,,,,,,,,,,,,
,,2020 - 2021,,,,225.0,243.0,1.08,,,,,,,,,,,,
,,2021 - 2022,,,,800.0,664.0,0.83,,,,,,,,,,,,
,,2022 - 2023,,,,900.0,698.0,0.78,,,,,,,,,,,,
,Gumla,2017 - 2018,,,,,,1.85,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.66,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.49,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.49,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.49,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.4,,,,,,,,,,,,
,Hazaribagh,2017 - 2018,,,,,,1.25,,,,,,,,,,,,
,,2018 - 2019,,,,915.0,,1.25,,,,,,,,,,,,
,,2019 - 2020,,,,935.0,,1.24,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.25,,,,,,,,,,,,
,,2021 - 2022,,,,788.0,709.0,0.9,,,,,,,,,,,,
,,2022 - 2023,,,,623.0,561.0,0.9,,,,,,,,,,,,
,Jamtara,2017 - 2018,,,,504.0,302.0,0.6,,,,,,,,,,,,
,,2018 - 2019,,,,500.0,400.0,0.8,,,,,,,,,,,,
,,2019 - 2020,,,,13.0,10.0,0.77,,,,,,,,,,,,
,,2020 - 2021,,,,38.0,27.0,0.71,,,,,,,,,,,,
,,2021 - 2022,,,,149.0,112.0,0.75,,,,,,,,,,,,
,,2022 - 2023,,,,15.0,11.0,0.73,,,,,,,,,,,,
,Khunti,2017 - 2018,,,,,965.0,0.94,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.92,,,,,,,,,,,,
,,2019 - 2020,,,,739.0,480.0,0.65,,,,,,,,,,,,
,,2020 - 2021,,,,,851.0,0.7,,,,,,,,,,,,
,,2021 - 2022,,,,900.0,630.0,0.7,,,,,,,,,,,,
,,2022 - 2023,,,,704.0,493.0,0.7,,,,,,,,,,,,
,Koderma,2017 - 2018,,,,,831.0,0.8,,,,,,,,,,,,
,,2018 - 2019,,,,898.0,898.0,1.0,,,,,,,,,,,,
,,2019 - 2020,,,,592.0,474.0,0.8,,,,,,,,,,,,
,,2020 - 2021,,,,592.0,474.0,0.8,,,,,,,,,,,,
,,2021 - 2022,,,,652.0,848.0,1.3,,,,,,,,,,,,
,,2022 - 2023,,,,704.0,915.0,1.3,,,,,,,,,,,,
,Latehar,2017 - 2018,,,,,,0.86,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.86,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.86,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.87,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.86,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.22,,,,,,,,,,,,
,Lohardaga,2017 - 2018,,,,,,1.2,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.2,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.2,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.2,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.2,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.2,,,,,,,,,,,,
,Pakur,2017 - 2018,,,,95.0,67.0,0.71,,,,,,,,,,,,
,,2018 - 2019,,,,207.0,72.0,0.35,,,,,,,,,,,,
,,2019 - 2020,,,,160.0,113.0,0.71,,,,,,,,,,,,
,,2021 - 2022,,,,53.0,19.0,0.36,,,,,,,,,,,,
,Palamu,2017 - 2018,,,,540.0,424.0,0.79,,,,,,,,,,,,
,,2018 - 2019,,,,502.0,306.0,0.61,,,,,,,,,,,,
,,2019 - 2020,,,,974.0,765.0,0.79,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.11,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.2,,,,,,,,,,,,
,,2022 - 2023,,,,560.0,673.0,1.2,,,,,,,,,,,,
,Ramgarh,2017 - 2018,,,,877.0,,1.24,,,,,,,,,,,,
,,2018 - 2019,,,,834.0,,1.24,,,,,,,,,,,,
,,2019 - 2020,,,,731.0,906.0,1.24,,,,,,,,,,,,
,,2020 - 2021,,,,795.0,986.0,1.24,,,,,,,,,,,,
,,2021 - 2022,,,,629.0,560.0,0.89,,,,,,,,,,,,
,,2022 - 2023,,,,687.0,611.0,0.89,,,,,,,,,,,,
,Ranchi,2017 - 2018,,,,,,0.8,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.83,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.95,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.95,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.95,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.95,,,,,,,,,,,,
,Sahebganj,2017 - 2018,,,,6.0,5.0,0.83,,,,,,,,,,,,
,,2018 - 2019,,,,24.0,21.0,0.88,,,,,,,,,,,,
,,2019 - 2020,,,,10.0,9.0,0.9,,,,,,,,,,,,
,,2021 - 2022,,,,5.0,4.0,0.8,,,,,,,,,,,,
,Saraikela kharsawan,2017 - 2018,,,,382.0,267.0,0.7,,,,,,,,,,,,
,,2018 - 2019,,,,490.0,436.0,0.89,,,,,,,,,,,,
,,2019 - 2020,,,,210.0,179.0,0.85,,,,,,,,,,,,
,,2020 - 2021,,,,297.0,264.0,0.89,,,,,,,,,,,,
,,2021 - 2022,,,,415.0,369.0,0.89,,,,,,,,,,,,
,,2022 - 2023,,,,397.0,353.0,0.89,,,,,,,,,,,,
,Simdega,2017 - 2018,,,,,,0.8,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.8,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.95,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.97,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.35,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.35,,,,,,,,,,,,
,West singhbhum,2017 - 2018,,,,95.0,81.0,0.85,,,,,,,,,,,,
,,2018 - 2019,,,,131.0,117.0,0.89,,,,,,,,,,,,
,,2019 - 2020,,,,136.0,120.0,0.88,,,,,,,,,,,,
,,2020 - 2021,,,,60.0,53.0,0.88,,,,,,,,,,,,
,,2021 - 2022,,,,420.0,370.0,0.88,,,,,,,,,,,,
,,2022 - 2023,,,,412.0,377.0,0.92,,,,,,,,,,,,
Karnataka,Bagalkot,2000 - 2001,,,1.46,,,0.67,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.22,,,,,,,,,,,,
,,2002 - 2003,,,1.28,,,0.34,,,,,,,,,,,,
,,2003 - 2004,,,1.54,,,0.62,,,,,,,,,,,,
,,2004 - 2005,,,1.34,,,0.59,,,,,,,,,,,,
,,2005 - 2006,,,0.95,,,0.7,,,,,,,,,,,,
,,2006 - 2007,,,0.79,,,0.4,,,,,,,,,,,,
,,2007 - 2008,,,0.83,,,0.77,,,,,,,,,,,,
,,2008 - 2009,,,1.0,,,0.63,,,,,,,,,,,,
,,2009 - 2010,,,1.14,,,0.29,,,,,,,,,,,,
,,2010 - 2011,,,1.43,,,0.71,,,,,,,,,,,,
,,2011 - 2012,,,1.13,,,0.51,,,,,,,,,,,,
,,2012 - 2013,,,,,721.0,0.55,,,1.05,,,,,,,,,
,,2013 - 2014,,,,,,0.7,,,1.02,,,,,,,,,
,,2014 - 2015,,,,,,0.96,,,1.03,,,,,,,,,
,,2015 - 2016,,,,723.0,662.0,0.92,,,0.9,,,,,,,,,
,,2016 - 2017,,,,,,0.83,,,1.35,,,,,,,,,
,,2017 - 2018,,,,,999.0,0.79,,,1.52,,,,,,,,,
,,2018 - 2019,,,,,,0.94,,,0.99,,,,,,,,,
,,2019 - 2020,,,,,,1.04,,,1.56,,,,,,,,,
,,2020 - 2021,,,,,,1.08,,,1.4,,,,,,,,,
,,2021 - 2022,,,,,,0.86,,,1.46,,,,,,,,,
,,2022 - 2023,,,2.18,652.0,617.0,0.95,,,1.14,,,,,,,,,
,Bangalore rural,2000 - 2001,,,1.02,,,0.93,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.15,,,,,,,,,,,,
,,2002 - 2003,56.0,63.0,1.13,,,0.96,,,,,,,,,,,,
,,2003 - 2004,422.0,410.0,0.97,,,0.89,,,,,,,,,,,,
,,2004 - 2005,467.0,425.0,0.91,,,1.36,,,,,,,,,,,,
,,2005 - 2006,119.0,101.0,0.85,,,0.75,,,,,,,,,,,,
,,2006 - 2007,27.0,20.0,0.74,,,0.52,,,,,,,,,,,,
,,2007 - 2008,56.0,48.0,0.86,635.0,617.0,0.97,,,,,,,,,,,,
,,2008 - 2009,22.0,17.0,0.77,693.0,699.0,1.01,,,,,,,,,,,,
,,2009 - 2010,35.0,27.0,0.77,450.0,297.0,0.66,,,,,,,,,,,,
,,2010 - 2011,66.0,58.0,0.88,475.0,503.0,1.06,,,,,,,,,,,,
,,2011 - 2012,28.0,23.0,0.82,410.0,540.0,1.32,,,,,,,,,,,,
,,2012 - 2013,58.0,98.0,1.69,475.0,254.0,0.53,,,,,,,,,,,,
,,2013 - 2014,,,,228.0,103.0,0.45,41.0,37.0,0.9,,,,,,,,,
,,2014 - 2015,,,,275.0,155.0,0.56,23.0,20.0,0.87,,,,,,,,,
,,2015 - 2016,,,,169.0,212.0,1.25,6.0,4.0,0.67,,,,,,,,,
,,2016 - 2017,,,,123.0,39.0,0.32,2.0,2.0,1.0,,,,,,,,,
,,2017 - 2018,,,,112.0,97.0,0.87,3.0,3.0,1.0,,,,,,,,,
,,2018 - 2019,,,,158.0,103.0,0.65,4.0,3.0,0.75,,,,,,,,,
,,2019 - 2020,,,,189.0,217.0,1.15,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,,,,222.0,240.0,1.08,21.0,23.0,1.1,,,,,,,,,
,,2021 - 2022,,,,162.0,205.0,1.27,1.0,1.0,1.0,,,,,,,,,
,,2022 - 2023,8.0,17.0,2.13,106.0,139.0,1.31,,,,,,,,,,,,
,Belgaum,2000 - 2001,,,1.21,,,0.96,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.74,,,,,,,,,,,,
,,2002 - 2003,,,0.96,,,0.61,,,,,,,,,,,,
,,2003 - 2004,,,1.32,,,0.66,,,,,,,,,,,,
,,2004 - 2005,,,1.04,,,0.55,,,,,,,,,,,,
,,2005 - 2006,,,0.75,,,0.46,,,,,,,,,,,,
,,2006 - 2007,,,0.91,,,0.47,,,,,,,,,,,,
,,2007 - 2008,,,0.95,,,0.65,,,,,,,,,,,,
,,2008 - 2009,,,0.73,,,0.58,,,,,,,,,,,,
,,2009 - 2010,,,0.94,,,0.55,,,,,,,,,,,,
,,2010 - 2011,,,0.95,,,0.76,,,,,,,,,,,,
,,2011 - 2012,,,1.09,,,0.85,,,,,,,,,,,,
,,2012 - 2013,,,1.69,,,0.71,,,0.72,,,,,,,,,
,,2013 - 2014,,,,,,1.0,,,0.93,,,,,,,,,
,,2014 - 2015,,,,,,0.92,,,0.91,,,,,,,,,
,,2015 - 2016,,,,,,0.49,,,0.81,,,,,,,,,
,,2016 - 2017,,,,,,0.93,,,1.2,,,,,,,,,
,,2017 - 2018,,,,,,1.22,,,1.22,,,,,,,,,
,,2018 - 2019,,,,,,1.05,,,1.03,,,,,,,,,
,,2019 - 2020,,,,,,0.87,,,1.12,,,,,,,,,
,,2020 - 2021,,,,,,1.06,,,1.22,,,,,,,,,
,,2021 - 2022,,,,,,0.91,,,0.95,,,,,,,,,
,,2022 - 2023,,,2.18,,,1.06,,,1.07,,,,,,,,,
,Bellary,2000 - 2001,,,1.07,,,0.91,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.87,,,,,,,,,,,,
,,2002 - 2003,,,1.02,,,0.58,,,,,,,,,,,,
,,2003 - 2004,,,0.89,,,0.65,,,,,,,,,,,,
,,2004 - 2005,,,0.75,,,0.39,,,,,,,,,,,,
,,2005 - 2006,,,0.58,,,0.42,,,,,,,,,,,,
,,2006 - 2007,,,0.86,,,0.23,,,,,,,,,,,,
,,2007 - 2008,,,0.87,,,0.75,,,,,,,,,,,,
,,2008 - 2009,,,0.83,,,0.26,,,,,,,,,,,,
,,2009 - 2010,,,0.82,,,0.26,,,,,,,,,,,,
,,2010 - 2011,,,0.77,,,0.33,,,,,,,,,,,,
,,2011 - 2012,,,0.79,,,0.47,,,,,,,,,,,,
,,2012 - 2013,,,1.69,,,0.68,,,0.74,,,,,,,,,
,,2013 - 2014,,,,,,1.23,,,1.05,,,,,,,,,
,,2014 - 2015,,,,,,0.99,,,0.9,,,,,,,,,
,,2015 - 2016,,,,,,0.92,,,1.02,,,,,,,,,
,,2016 - 2017,,,,,,1.21,,,0.77,,,,,,,,,
,,2017 - 2018,,,,,,1.51,,,1.35,,,,,,,,,
,,2018 - 2019,,,,,,1.11,,,1.06,,,,,,,,,
,,2019 - 2020,,,,,,1.34,,,1.41,,,,,,,,,
,,2020 - 2021,,,,,,1.31,,,1.39,,,,,,,,,
,,2021 - 2022,,,,,,1.09,,,1.24,,,,,,,,,
,,2022 - 2023,,,2.18,,,0.9,526.0,519.0,0.99,,,,,,,,,
,Bengaluru urban,2000 - 2001,50.0,55.0,1.1,382.0,383.0,1.0,,,,,,,,,,,,
,,2001 - 2002,,,,223.0,138.0,0.62,,,,,,,,,,,,
,,2002 - 2003,,,,81.0,46.0,0.57,,,,,,,,,,,,
,,2003 - 2004,5.0,5.0,1.0,106.0,47.0,0.44,,,,,,,,,,,,
,,2004 - 2005,20.0,18.0,0.9,183.0,122.0,0.67,,,,,,,,,,,,
,,2005 - 2006,29.0,25.0,0.86,200.0,103.0,0.52,,,,,,,,,,,,
,,2006 - 2007,7.0,5.0,0.71,168.0,61.0,0.36,,,,,,,,,,,,
,,2007 - 2008,21.0,18.0,0.86,109.0,81.0,0.74,,,,,,,,,,,,
,,2008 - 2009,18.0,14.0,0.78,146.0,53.0,0.36,,,,,,,,,,,,
,,2009 - 2010,12.0,9.0,0.75,155.0,75.0,0.48,,,,,,,,,,,,
,,2010 - 2011,25.0,22.0,0.88,114.0,78.0,0.68,,,,,,,,,,,,
,,2011 - 2012,18.0,17.0,0.94,172.0,109.0,0.63,,,,,,,,,,,,
,,2012 - 2013,,,,100.0,56.0,0.56,,,,,,,,,,,,
,,2013 - 2014,,,,48.0,41.0,0.85,7.0,6.0,0.86,,,,,,,,,
,,2014 - 2015,,,,84.0,61.0,0.73,,,,,,,,,,,,
,,2015 - 2016,,,,68.0,46.0,0.68,4.0,3.0,0.75,,,,,,,,,
,,2016 - 2017,,,,40.0,20.0,0.5,2.0,2.0,1.0,,,,,,,,,
,,2017 - 2018,,,,78.0,86.0,1.1,4.0,5.0,1.25,,,,,,,,,
,,2018 - 2019,,,,86.0,59.0,0.69,1.0,1.0,1.0,,,,,,,,,
,,2019 - 2020,,,,148.0,132.0,0.89,,,,,,,,,,,,
,,2020 - 2021,,,,39.0,37.0,0.95,,,,,,,,,,,,
,,2021 - 2022,,,,41.0,30.0,0.73,,,,,,,,,,,,
,,2022 - 2023,,,,10.0,8.0,0.8,,,,,,,,,,,,
,Bidar,2000 - 2001,,,1.06,,558.0,0.32,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.75,,,,,,,,,,,,
,,2002 - 2003,749.0,933.0,1.25,,733.0,0.53,,,,,,,,,,,,
,,2003 - 2004,511.0,596.0,1.17,,440.0,0.36,,,,,,,,,,,,
,,2004 - 2005,459.0,471.0,1.03,,344.0,0.32,,,,,,,,,,,,
,,2005 - 2006,402.0,383.0,0.95,910.0,265.0,0.29,,,,,,,,,,,,
,,2006 - 2007,410.0,350.0,0.85,958.0,347.0,0.36,,,,,,,,,,,,
,,2007 - 2008,513.0,443.0,0.86,862.0,308.0,0.36,,,,,,,,,,,,
,,2008 - 2009,680.0,535.0,0.79,434.0,169.0,0.39,,,,,,,,,,,,
,,2009 - 2010,594.0,471.0,0.79,542.0,207.0,0.38,,,,,,,,,,,,
,,2010 - 2011,587.0,516.0,0.88,280.0,110.0,0.39,,,,,,,,,,,,
,,2011 - 2012,607.0,494.0,0.81,253.0,145.0,0.57,,,,,,,,,,,,
,,2012 - 2013,329.0,556.0,1.69,405.0,198.0,0.49,379.0,311.0,0.82,,,,,,,,,
,,2013 - 2014,,,,363.0,172.0,0.47,574.0,511.0,0.89,,,,,,,,,
,,2014 - 2015,,,,243.0,62.0,0.26,102.0,87.0,0.85,,,,,,,,,
,,2015 - 2016,,,,246.0,38.0,0.15,52.0,37.0,0.71,,,,,,,,,
,,2016 - 2017,,,,30.0,16.0,0.53,48.0,47.0,0.98,,,,,,,,,
,,2017 - 2018,,,,10.0,6.0,0.6,54.0,63.0,1.17,,,,,,,,,
,,2018 - 2019,,,,30.0,23.0,0.77,6.0,5.0,0.83,,,,,,,,,
,,2019 - 2020,,,,32.0,17.0,0.53,150.0,168.0,1.12,,,,,,,,,
,,2020 - 2021,,,,83.0,31.0,0.37,405.0,452.0,1.12,,,,,,,,,
,,2021 - 2022,,,,31.0,17.0,0.55,638.0,683.0,1.07,,,,,,,,,
,,2022 - 2023,132.0,288.0,2.18,8.0,6.0,0.75,91.0,80.0,0.88,,,,,,,,,
,Bijapur,2000 - 2001,,,0.67,,,0.44,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.79,,,,,,,,,,,,
,,2002 - 2003,,,0.83,,,0.36,,,,,,,,,,,,
,,2003 - 2004,,,0.57,,,0.29,,,,,,,,,,,,
,,2004 - 2005,,,0.64,,,0.3,,,,,,,,,,,,
,,2005 - 2006,,,0.56,,,0.42,,,,,,,,,,,,
,,2006 - 2007,,,0.53,,,0.33,,,,,,,,,,,,
,,2007 - 2008,,,0.84,,,0.4,,,,,,,,,,,,
,,2008 - 2009,,,0.59,,,0.52,,,,,,,,,,,,
,,2009 - 2010,,,0.67,,,0.33,,,,,,,,,,,,
,,2010 - 2011,,,0.68,,,0.41,,,,,,,,,,,,
,,2011 - 2012,,,0.54,,,0.29,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.62,,,0.7,,,,,,,,,
,,2013 - 2014,,,,,,0.72,,,0.75,,,,,,,,,
,,2014 - 2015,,,,,,0.65,,,0.68,,,,,,,,,
,,2015 - 2016,,,,,,0.28,,,0.45,,,,,,,,,
,,2016 - 2017,,,,,,0.71,,,0.66,,,,,,,,,
,,2017 - 2018,,,,,,0.74,,,0.8,,,,,,,,,
,,2018 - 2019,,,,,,0.53,,,0.66,,,,,,,,,
,,2019 - 2020,,,,,,0.51,,,0.72,,,,,,,,,
,,2020 - 2021,,,,,,0.55,,,0.85,,,,,,,,,
,,2021 - 2022,,,,,,0.75,,,0.81,,,,,,,,,
,,2022 - 2023,,,2.18,,,0.65,,,0.77,,,,,,,,,
,Chamarajanagar,2000 - 2001,538.0,591.0,1.1,,,1.28,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.3,,,,,,,,,,,,
,,2002 - 2003,409.0,458.0,1.12,,,0.71,,,,,,,,,,,,
,,2003 - 2004,90.0,87.0,0.97,,,0.48,,,,,,,,,,,,
,,2004 - 2005,440.0,400.0,0.91,,,1.03,,,,,,,,,,,,
,,2005 - 2006,104.0,92.0,0.88,,,0.85,,,,,,,,,,,,
,,2006 - 2007,92.0,70.0,0.76,,,0.56,,,,,,,,,,,,
,,2007 - 2008,101.0,108.0,1.07,,,0.64,,,,,,,,,,,,
,,2008 - 2009,55.0,34.0,0.62,,,0.58,,,,,,,,,,,,
,,2009 - 2010,21.0,14.0,0.67,,,0.55,,,,,,,,,,,,
,,2010 - 2011,35.0,31.0,0.89,,,0.62,,,,,,,,,,,,
,,2011 - 2012,16.0,13.0,0.81,,,0.56,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.5,15.0,12.0,0.8,,,,,,,,,
,,2013 - 2014,,,,,,0.89,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.7,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.78,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.21,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.22,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.17,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.37,39.0,44.0,1.13,,,,,,,,,
,,2020 - 2021,,,,,,1.32,203.0,226.0,1.11,,,,,,,,,
,,2021 - 2022,,,,,,1.1,139.0,149.0,1.07,,,,,,,,,
,,2022 - 2023,61.0,132.0,2.16,,,1.15,46.0,41.0,0.89,,,,,,,,,
,Chikballapur,2007 - 2008,,,1.38,,,0.92,,,,,,,,,,,,
,,2008 - 2009,675.0,753.0,1.12,,,0.65,,,,,,,,,,,,
,,2009 - 2010,610.0,668.0,1.1,,,0.46,,,,,,,,,,,,
,,2010 - 2011,641.0,641.0,1.0,,,1.02,,,,,,,,,,,,
,,2011 - 2012,322.0,262.0,0.81,,,0.6,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.46,364.0,299.0,0.82,,,,,,,,,
,,2013 - 2014,,,,,,0.89,80.0,97.0,1.21,,,,,,,,,
,,2014 - 2015,,,,,,0.52,105.0,89.0,0.85,,,,,,,,,
,,2015 - 2016,,,,,,0.87,69.0,49.0,0.71,,,,,,,,,
,,2016 - 2017,,,,,,0.33,174.0,172.0,0.99,,,,,,,,,
,,2017 - 2018,,,,,,1.29,187.0,288.0,1.54,,,,,,,,,
,,2018 - 2019,,,,,,0.48,1.0,2.0,2.0,,,,,,,,,
,,2019 - 2020,,,,,,1.13,774.0,,1.9,,,,,,,,,
,,2020 - 2021,,,,,,0.99,,,0.95,,,,,,,,,
,,2021 - 2022,,,,,,0.95,,,1.34,,,,,,,,,
,,2022 - 2023,,,2.18,,,0.77,986.0,870.0,0.88,,,,,,,,,
,Chikmagalur,2000 - 2001,,,1.48,,,1.29,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.89,,,,,,,,,,,,
,,2002 - 2003,388.0,471.0,1.21,,,0.71,,,,,,,,,,,,
,,2003 - 2004,412.0,400.0,0.97,,,0.64,,,,,,,,,,,,
,,2004 - 2005,293.0,267.0,0.91,,,0.69,,,,,,,,,,,,
,,2005 - 2006,741.0,363.0,0.49,,,0.84,,,,,,,,,,,,
,,2006 - 2007,240.0,141.0,0.59,,,0.48,,,,,,,,,,,,
,,2007 - 2008,265.0,159.0,0.6,,,0.72,,,,,,,,,,,,
,,2008 - 2009,247.0,168.0,0.68,,,0.95,,,,,,,,,,,,
,,2009 - 2010,392.0,363.0,0.93,,,1.01,,,,,,,,,,,,
,,2010 - 2011,278.0,256.0,0.92,,,1.13,,,,,,,,,,,,
,,2011 - 2012,501.0,391.0,0.78,,,0.84,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.56,110.0,88.0,0.8,,,,,,,,,
,,2013 - 2014,,,,,,0.76,131.0,106.0,0.81,,,,,,,,,
